위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.45291,126.48849,주차장,장애인 구역 따로 있고. 전기 충전기. 대형버스 접근 등 모두 가능,특이사항없음,Y,정상,2020-12-22
33.45257,126.48847,장애인 주차구역,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.45259,126.48847,오르막,경사구간 : 경사 10˚. 길이 1m,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.45278,126.48859,오르막,경사구간 : 경사 4˚. 길이 40m,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.4527,126.48901,오르막,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.45269,126.48943,미술관 입구,옆에 TV가 있어 시청가능,특이사항없음,Y,정상,2020-12-22
33.45307,126.48903,쉼터,흡연가능,특이사항없음,Y,정상,2020-12-22
33.45292,126.48979,더 페이스,포토존,특이사항없음,Y,정상,2020-12-22
33.45286,126.48998,초원,경사구간 : 경사 7˚. 길이 44m. 포토존,특이사항없음,Y,정상,2020-12-22
33.4527,126.48986,장리석 기념관,경사구간 : 경사 7˚. 길이 44m. 코로나로 인한 폐문,특이사항없음,Y,정상,2020-12-22
33.45267,126.49039,From the sea,경사구간 : 경사 7˚. 길이 44m,특이사항없음,Y,정상,2020-12-22
33.45251,126.49077,내리막,경사구간 : 경사 4˚. 길이 28m,특이사항없음,Y,정상,2020-12-22
33.45235,126.491,내리막 끝,경사구간 : 경사 4˚. 길이 29m,특이사항없음,Y,정상,2020-12-22
33.45221,126.49124,계단,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.45208,126.49144,자갈길,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.45245,126.49144,잘갈길 끝. 벽돌길 시작,보도블럭 사이사이 잔디가 자라있어 길이 울퉁불퉁할 수 있음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.4523,126.49036,화장실,특이사항없음,장애인화장실,Y,정상,2020-12-22
33.45207,126.49088,반환점,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.45269,126.49071,식수대,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.45267,126.49127,나무와 숲이 있었네,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.45267,126.4912,쉼터,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.45269,126.4909,쉼터,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.4527,126.49065,쉼터,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.45309,126.48793,버스정류장,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.453,126.48792,화장실,장애인 화장실은 있으나 표시가 없음,장애인화장실,Y,정상,2020-12-22
